title,price_str,price,grader,grade,keywords,card_number,sponsored,link,image_url
"2021 Pokemon Celebrations Charizard-Holo #4 GEM MT PSA 10 Classic Coll-Base Set
Opens in a new window or tab",$260.00,260.0,PSA,10,[],,False,https://www.ebay.com/itm/168173937677,https://i.ebayimg.com/images/g/uboAAeSwLdZpmMC1/s-l500.webp
"2021 Pokemon Celebrations Charizard-Holo #4 GEM MT PSA 10 Classic Coll-Base Set
Opens in a new window or tab",$405.00,405.0,PSA,10,[],,False,https://www.ebay.com/itm/188068954472,https://i.ebayimg.com/images/g/sTIAAeSwPo5plNHm/s-l500.webp
"Charizard Holo 1996 PSA 10 Mint Japanese Base Set Pokemon Card #6
Opens in a new window or tab","$35,436.00",35436.0,PSA,10,[],,False,https://www.ebay.com/itm/317853100266,https://i.ebayimg.com/images/g/AsAAAeSw5M9ph79N/s-l500.webp
"Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10
Opens in a new window or tab",$405.00,405.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/287156763876,https://i.ebayimg.com/images/g/pzAAAeSw9Z5phoBf/s-l500.webp
"2021 Pokémon Celebrations Charizard PSA 10 w/guard 🔥
Opens in a new window or tab",$579.00,579.0,PSA,10,[],,False,https://www.ebay.com/itm/117061299387,https://i.ebayimg.com/images/g/jMEAAeSwCBZpokry/s-l500.webp
"2021 Pokemon Celebrations Classic Coll Base Set #4 Charizard Holo PSA 10
Opens in a new window or tab",$265.00,265.0,PSA,10,[],,False,https://www.ebay.com/itm/389665880646,https://i.ebayimg.com/images/g/zJsAAeSw1DhpnlL2/s-l500.webp
"2001 POKEMON JPN EXPEDITION 1ST ED #103 CHARIZARD-HOLO PSA 10
Opens in a new window or tab","$4,050.00",4050.0,PSA,10,[],,False,https://www.ebay.com/itm/306783105080,https://i.ebayimg.com/images/g/vUYAAeSwRbRpmbO3/s-l500.webp
"💎Pokemon Charizard Celebrations Classic Coll. Base Set Holo Rare #4 PSA 10🔥💎
Opens in a new window or tab",$745.00,745.0,PSA,10,['Holo Rare'],,False,https://www.ebay.com/itm/336453681470,https://i.ebayimg.com/images/g/cawAAeSwpcppoI5D/s-l500.webp
"PSA 10 🔥 2002 Pokemon Expedition Charizard 39/165 Non Holo Low Pop Rare
Opens in a new window or tab",$899.95,899.95,PSA,10,[],39/165,False,https://www.ebay.com/itm/389463564831,https://i.ebayimg.com/images/g/txAAAeSwwbRpXafk/s-l500.webp
"PSA 10 Pokemon Card CHARIZARD-HOLO EXPEDITION-1ST EDITION 103 2001 JAPANESE
Opens in a new window or tab","$4,075.00",4075.0,PSA,10,['1st Edition'],,False,https://www.ebay.com/itm/376957398714,https://i.ebayimg.com/images/g/4jQAAeSwm4BpjNf0/s-l500.webp
"2021 Pokemon Celebrations Base Set Classic Collection Charizard 4/102 PSA 10
Opens in a new window or tab",$659.82,659.82,PSA,10,[],4/102,False,https://www.ebay.com/itm/366223317960,https://i.ebayimg.com/images/g/4noAAeSwI1ZpnO7Z/s-l500.webp
"1999 Pokemon Base Set Booster Pack Charizard Sealed Pack PSA 10 Gem Mint Thick
Opens in a new window or tab","$2,696.40",2696.4,PSA,10,[],,False,https://www.ebay.com/itm/358251364341,https://i.ebayimg.com/images/g/7R0AAeSwIz9pnLP9/s-l500.webp
"PSA 10 Charizard Celebrations Classic Collection Holo Base Set Pokémon 4/102
Opens in a new window or tab",$749.98,749.98,PSA,10,[],4/102,False,https://www.ebay.com/itm/196018150167,https://i.ebayimg.com/images/g/7RoAAeSwVE9pn2qv/s-l500.webp
